time,Actual Movement,close,Predictions,Predicted
2022-01-07,-1,1.13594,0.5043323,-1
2022-01-10,1,1.13295,0.50430095,-1
2022-01-11,1,1.1369,0.50425696,-1
2022-01-12,1,1.14402,0.50414026,-1
2022-01-13,-1,1.14547,0.5040162,-1
2022-01-14,-1,1.14157,0.5039911,-1
2022-01-17,-1,1.14051,0.5039984,-1
2022-01-18,1,1.13276,0.50389344,-1
2022-01-19,-1,1.13436,0.5039744,-1
2022-01-20,1,1.131,0.5039131,-1
2022-01-21,-1,1.13422,0.5041936,-1
2022-01-24,-1,1.13253,0.50429606,-1
2022-01-25,-1,1.13027,0.5044039,-1
2022-01-26,-1,1.12421,0.5044786,-1
2022-01-27,1,1.11438,0.50444615,-1
2022-01-28,1,1.11474,0.5045359,-1
2022-01-31,1,1.12334,0.504444,-1
2022-02-01,1,1.12729,0.50433046,-1
2022-02-02,1,1.13053,0.5043731,-1
2022-02-03,1,1.14392,0.5044868,-1
2022-02-04,-1,1.14517,0.50441396,-1
2022-02-07,-1,1.14393,0.5044728,-1
2022-02-08,1,1.14172,0.5044032,-1
2022-02-09,1,1.14233,0.50437653,-1
2022-02-10,-1,1.14289,0.5042866,-1
2022-02-11,-1,1.13476,0.5043394,-1
2022-02-14,1,1.13077,0.504525,-1
2022-02-15,1,1.13596,0.50470513,-1
2022-02-16,-1,1.13738,0.5047098,-1
2022-02-17,-1,1.13617,0.5046243,-1
2022-02-18,-1,1.13229,0.50435203,-1
2022-02-21,1,1.13111,0.5042049,-1
2022-02-22,-1,1.13256,0.50403416,-1
2022-02-23,-1,1.1303,0.5038402,-1
2022-02-24,1,1.11931,0.503859,-1
2022-02-25,-1,1.1272,0.5040432,-1
2022-02-28,-1,1.12197,0.5040586,-1
2022-03-01,1,1.11237,0.50420755,-1
2022-03-02,-1,1.11244,0.5043622,-1
2022-03-03,-1,1.10662,0.5045612,-1
2022-03-04,-1,1.09308,0.50474656,-1
2022-03-07,1,1.08523,0.5048654,-1
2022-03-08,1,1.09025,0.5049686,-1
2022-03-09,-1,1.1073,0.50502104,-1
2022-03-10,-1,1.09879,0.50505733,1
2022-03-11,1,1.09141,0.5052593,1
2022-03-14,1,1.09394,0.50533813,1
2022-03-15,1,1.09463,0.50539744,1
2022-03-16,1,1.10361,0.50547475,1
2022-03-17,-1,1.10909,0.5053304,1
2022-03-18,-1,1.10493,0.50535303,1
2022-03-21,1,1.10163,0.50546706,1
2022-03-22,-1,1.10302,0.50549096,1
2022-03-23,-1,1.10088,0.5054762,1
2022-03-24,-1,1.09977,0.50548714,1
2022-03-25,1,1.09852,0.50541633,1
2022-03-28,1,1.09857,0.5052192,1
2022-03-29,1,1.10874,0.5050065,-1
2022-03-30,-1,1.11596,0.50486696,-1
2022-03-31,-1,1.10669,0.5048176,-1
2022-04-01,-1,1.10453,0.50486964,-1
2022-04-04,-1,1.09731,0.5047665,-1
2022-04-05,-1,1.09053,0.5047304,-1
2022-04-06,-1,1.08976,0.5047976,-1
2022-04-07,-1,1.08818,0.5049647,-1
2022-04-08,1,1.0875,0.5051566,1
2022-04-11,-1,1.08836,0.505278,1
2022-04-12,1,1.08272,0.5053685,1
2022-04-13,-1,1.08915,0.50546604,1
2022-04-14,-1,1.0831,0.5054051,1
2022-04-15,-1,1.08086,0.5054361,1
2022-04-18,1,1.07811,0.5053001,1
2022-04-19,1,1.07905,0.5053361,1
2022-04-20,-1,1.08519,0.50553024,1
2022-04-21,-1,1.08352,0.5056322,1
2022-04-22,-1,1.08012,0.5058536,1
2022-04-25,-1,1.07111,0.5060685,1
2022-04-26,-1,1.06373,0.5062466,1
2022-04-27,-1,1.05606,0.50635445,1
2022-04-28,1,1.04992,0.506471,1
2022-04-29,-1,1.05464,0.5065306,1
2022-05-02,1,1.05077,0.5064989,1
2022-05-03,1,1.05223,0.50648475,1
2022-05-04,-1,1.06218,0.50655466,1
2022-05-05,1,1.05411,0.50648636,1
2022-05-06,1,1.0544,0.50655395,1
2022-05-09,-1,1.05603,0.50643814,1
2022-05-10,-1,1.05286,0.5062988,1
2022-05-11,-1,1.05129,0.5064065,1
2022-05-12,1,1.03817,0.5065621,1
2022-05-13,1,1.04081,0.50685656,1
2022-05-16,1,1.04347,0.5069349,1
2022-05-17,-1,1.05505,0.50698894,1
2022-05-18,1,1.04645,0.50686413,1
2022-05-19,-1,1.0584,0.50684047,1
2022-05-20,1,1.0559,0.50653046,1
2022-05-23,1,1.06918,0.5063828,1
2022-05-24,-1,1.07359,0.5059747,1
2022-05-25,1,1.06802,0.5058995,1
2022-05-26,1,1.07287,0.5059041,1
2022-05-27,1,1.07312,0.5058108,1
2022-05-30,-1,1.07799,0.50584877,1
2022-05-31,-1,1.0734,0.50585294,1
2022-06-01,1,1.06527,0.5059507,1
2022-06-02,-1,1.07498,0.50591546,1
2022-06-03,-1,1.07169,0.5056497,1
2022-06-06,1,1.0693,0.5055202,1
2022-06-07,1,1.07063,0.5055427,1
2022-06-08,-1,1.07166,0.50536984,1
2022-06-09,-1,1.06192,0.5053703,1
2022-06-10,-1,1.05211,0.5053582,1
2022-06-13,1,1.04089,0.5053823,1
2022-06-14,1,1.04173,0.5055353,1
2022-06-15,1,1.04449,0.50560445,1
2022-06-16,-1,1.05524,0.5057549,1
2022-06-17,1,1.04967,0.50578696,1
2022-06-20,1,1.05103,0.5060026,1
2022-06-21,1,1.05353,0.5061079,1
2022-06-22,-1,1.05679,0.50603306,1
2022-06-23,1,1.05217,0.50603086,1
2022-06-24,1,1.05539,0.5061051,1
2022-06-27,-1,1.05831,0.5060609,1
2022-06-28,-1,1.05213,0.5061041,1
2022-06-29,1,1.04417,0.506364,1
2022-06-30,-1,1.04833,0.506574,1
2022-07-01,-1,1.04266,0.50660443,1
2022-07-04,-1,1.04221,0.5067146,1
2022-07-05,-1,1.02656,0.5066344,1
2022-07-06,-1,1.01838,0.506653,1
2022-07-07,1,1.01627,0.5067272,1
2022-07-08,-1,1.01835,0.5067827,1
2022-07-11,-1,1.00415,0.50679827,1
2022-07-12,1,1.00366,0.5069623,1
2022-07-13,-1,1.00575,0.5070448,1
2022-07-14,1,1.00217,0.50706583,1
2022-07-15,1,1.0086,0.5072004,1
2022-07-18,1,1.01457,0.5072726,1
2022-07-19,-1,1.02265,0.5073939,1
2022-07-20,1,1.01796,0.5073524,1
2022-07-21,-1,1.02269,0.50747377,1
2022-07-22,1,1.01979,0.50743693,1
2022-07-25,-1,1.02216,0.50748765,1
2022-07-26,1,1.01162,0.50753933,1
2022-07-27,-1,1.02008,0.5076779,1
