,time,Actual Movement,Predictions,Predicted,close,close_price_next
553,2021-10-07,1,0.5011104,1,1.00217,1.0086
554,2021-10-08,1,0.5012645,1,1.0086,1.01457
555,2021-10-11,1,0.5013797,1,1.01457,1.02265
556,2021-10-12,-1,0.50157803,1,1.02265,1.01796
557,2021-10-13,1,0.50210476,1,1.01796,1.02269
558,2021-10-14,-1,0.5023586,1,1.02269,1.01979
559,2021-10-15,1,0.5027284,1,1.01979,1.02216
560,2021-10-18,-1,0.50312096,1,1.02216,1.01162
561,2021-10-19,1,0.503625,1,1.01162,1.02008
562,2021-10-20,-1,0.5039606,1,1.02008,1.01987
563,2021-10-21,1,0.5040332,1,1.01987,1.02264
564,2021-10-22,1,0.50413615,1,1.02264,1.02584
565,2021-10-25,-1,0.5038457,1,1.02584,1.0167
566,2021-10-26,1,0.5036775,1,1.0167,1.01688
567,2021-10-27,1,0.50349283,1,1.01688,1.02454
568,2021-10-28,-1,0.5036962,1,1.02454,1.0178
569,2021-10-29,1,0.50328207,1,1.0178,1.01957
570,2021-11-01,1,0.5032241,1,1.01957,1.0213
571,2021-11-02,1,0.50285894,1,1.0213,1.02972
572,2021-11-03,1,0.5028754,1,1.02972,1.03243
573,2021-11-04,-1,0.5026522,1,1.03243,1.02567
574,2021-11-05,-1,0.5027235,1,1.02567,1.01585
575,2021-11-08,1,0.50270605,1,1.01585,1.01701
576,2021-11-09,1,0.5025938,1,1.01701,1.01778
577,2021-11-10,-1,0.5021206,1,1.01778,1.00882
578,2021-11-11,-1,0.50185126,1,1.00882,1.00394
579,2021-11-12,-1,0.501522,1,1.00394,0.99411
580,2021-11-15,1,0.5013631,1,0.99411,0.99681
581,2021-11-16,1,0.5012567,1,0.99681,0.99688
582,2021-11-17,1,0.50145996,1,0.99688,0.99724
583,2021-11-18,-1,0.50184643,1,0.99724,0.99651
584,2021-11-19,1,0.50179553,1,0.99651,0.99974
585,2021-11-22,1,0.5017163,1,0.99974,1.00155
586,2021-11-23,1,0.5017332,1,1.00155,1.00525
587,2021-11-24,-1,0.5017575,1,1.00525,0.99476
588,2021-11-25,1,0.5020315,1,0.99476,0.99574
589,2021-11-26,-1,0.5024399,1,0.99574,0.99287
590,2021-11-29,-1,0.502723,1,0.99287,0.99039
591,2021-11-30,1,0.5031404,1,0.99039,0.99886
592,2021-12-01,1,0.5033152,1,0.99886,0.99989
593,2021-12-02,1,0.5036315,1,0.99989,1.00462
594,2021-12-03,1,0.50384843,1,1.00462,1.01236
595,2021-12-06,-1,0.5039806,1,1.01236,0.99682
596,2021-12-07,1,0.504142,1,0.99682,0.99783
597,2021-12-08,1,0.5044307,1,0.99783,0.99947
598,2021-12-09,1,0.50432277,1,0.99947,1.00133
599,2021-12-10,1,0.50448984,1,1.00133,1.00241
600,2021-12-13,-1,0.5042681,1,1.00241,0.99685
601,2021-12-14,-1,0.50411844,1,0.99685,0.98397
602,2021-12-15,-1,0.504079,1,0.98397,0.98333
603,2021-12-16,-1,0.50398946,1,0.98333,0.96889
604,2021-12-17,-1,0.50360507,1,0.96889,0.96074
605,2021-12-20,-1,0.5036481,1,0.96074,0.95914
606,2021-12-21,1,0.50368685,1,0.95914,0.97345
607,2021-12-22,1,0.5042958,1,0.97345,0.98078
608,2021-12-23,-1,0.50480354,1,0.98078,0.97997
609,2021-12-24,1,0.5051826,1,0.97997,0.98241
610,2021-12-27,1,0.5053705,1,0.98241,0.9986
611,2021-12-28,-1,0.5053626,1,0.9986,0.9892
612,2021-12-29,-1,0.50564665,1,0.9892,0.97912
613,2021-12-30,-1,0.50552225,1,0.97912,0.97381
614,2021-12-31,-1,0.50559664,1,0.97381,0.97058
615,2022-01-03,-1,0.50497353,1,0.97058,0.97031
616,2022-01-04,1,0.5045769,1,0.97031,0.97033
617,2022-01-05,1,0.5042909,1,0.97033,0.97769
618,2022-01-06,-1,0.50421876,1,0.97769,0.97237
619,2022-01-07,1,0.50466496,1,0.97237,0.98444
620,2022-01-10,1,0.5047653,1,0.98444,0.98585
621,2022-01-11,-1,0.505407,1,0.98585,0.97725
622,2022-01-12,1,0.50580007,1,0.97725,0.97869
623,2022-01-13,1,0.5059327,1,0.97869,0.98629
624,2022-01-14,1,0.50550276,1,0.98629,0.98752
625,2022-01-17,1,0.5050555,1,0.98752,0.99675
626,2022-01-18,1,0.5043138,1,0.99675,1.00833
627,2022-01-19,-1,0.50402373,1,1.00833,0.99636
628,2022-01-20,1,0.5036394,1,0.99636,0.9966
629,2022-01-21,-1,0.50351644,1,0.9966,0.98828
630,2022-01-24,-1,0.50328153,1,0.98828,0.98744
631,2022-01-25,-1,0.50309145,1,0.98744,0.98132
632,2022-01-26,-1,0.5026948,1,0.98132,0.97485
633,2022-01-27,1,0.5024441,1,0.97485,0.99593
634,2022-01-28,1,0.50248575,1,0.99593,1.00205
635,2022-01-31,1,0.5032016,1,1.00205,1.00726
636,2022-02-01,-1,0.5038105,1,1.00726,1.00133
637,2022-02-02,1,0.5045591,1,1.00133,1.02052
638,2022-02-03,1,0.5052855,1,1.02052,1.03537
639,2022-02-04,-1,0.5058737,1,1.03537,1.03302
640,2022-02-07,1,0.50618297,1,1.03302,1.03481
641,2022-02-08,1,0.5061262,1,1.03481,1.03917
642,2022-02-09,-1,0.50597733,1,1.03917,1.03663
643,2022-02-10,-1,0.505733,1,1.03663,1.03197
644,2022-02-11,-1,0.5051343,1,1.03197,1.02389
645,2022-02-14,1,0.5048012,1,1.02389,1.03021
646,2022-02-15,1,0.50471836,1,1.03021,1.03939
647,2022-02-16,1,0.50468206,1,1.03939,1.04121
648,2022-02-17,-1,0.5045035,1,1.04121,1.0385
649,2022-02-18,-1,0.5041896,1,1.0385,1.03408
650,2022-02-21,-1,0.5037715,1,1.03408,1.03282
651,2022-02-22,1,0.5033207,1,1.03282,1.04054
652,2022-02-23,1,0.5029154,1,1.04054,1.05259
653,2022-02-24,1,0.50266594,1,1.05259,1.05409
654,2022-02-25,-1,0.5030386,1,1.05409,1.04925
655,2022-02-28,-1,0.50303864,1,1.04925,1.04661
656,2022-03-01,1,0.5028417,1,1.04661,1.05059
657,2022-03-02,1,0.50261587,1,1.05059,1.05563
658,2022-03-03,-1,0.50240666,1,1.05563,1.05339
659,2022-03-04,1,0.5023575,1,1.05339,1.05381
660,2022-03-07,1,0.5023343,1,1.05381,1.06325
661,2022-03-08,1,0.50263846,1,1.06325,1.0683
662,2022-03-09,-1,0.50316554,1,1.0683,1.06274
663,2022-03-10,-1,0.50328976,1,1.06274,1.05897
664,2022-03-11,1,0.5032867,1,1.05897,1.06078
665,2022-03-14,1,0.50328946,1,1.06078,1.06288
666,2022-03-15,-1,0.50343466,1,1.06288,1.06057
667,2022-03-16,-1,0.50382954,1,1.06057,1.0597
668,2022-03-17,1,0.5043445,1,1.0597,1.06168
669,2022-03-18,1,0.5045873,1,1.06168,1.06374
670,2022-03-21,-1,0.5047702,1,1.06374,1.06125
671,2022-03-22,1,0.5049415,1,1.06125,1.0661
672,2022-03-23,1,0.5048836,1,1.0661,1.06999
673,2022-03-24,-1,0.5048091,1,1.06999,1.0659
674,2022-03-25,-1,0.5046779,1,1.0659,1.0548
675,2022-03-28,1,0.504791,1,1.0548,1.06049
676,2022-03-29,-1,0.50505006,1,1.06049,1.05203
677,2022-03-30,1,0.50529253,1,1.05203,1.06428
678,2022-03-31,1,0.5050127,1,1.06428,1.07335
679,2022-04-01,1,0.50471133,1,1.07335,1.07338
680,2022-04-04,1,0.5040114,1,1.07338,1.07563
681,2022-04-05,1,0.50337535,1,1.07563,1.085
682,2022-04-06,-1,0.502952,1,1.085,1.08326
683,2022-04-07,-1,0.5027452,1,1.08326,1.08218
684,2022-04-08,-1,0.5027536,1,1.08218,1.079
685,2022-04-11,1,0.50286865,1,1.079,1.07953
