,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
757,2024-03-05 13:00:00,0.65242,0.65256,0.65199,0.65217,1744,9,0,0.65256,0.65074,True,False,True,False,2.0,3.0,3.0,2.0,False,False,True,0.65199,0.6519,True,True,False,True,False,False
758,2024-03-05 14:00:00,0.65217,0.65237,0.65168,0.6518,1567,9,0,0.65256,0.65074,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65168,0.65237,True,True,False,False,False,False
759,2024-03-05 15:00:00,0.6518,0.65212,0.65135,0.65147,2585,9,0,0.65256,0.65112,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65135,0.65212,False,True,False,False,False,False
760,2024-03-05 16:00:00,0.65147,0.65206,0.65126,0.65172,3168,9,0,0.65256,0.65126,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65126,0.65206,False,True,False,False,False,False
761,2024-03-05 17:00:00,0.65134,0.65172,0.65034,0.65046,3763,9,0,0.65256,0.65034,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,0.65126,0.65172,True,True,True,False,False,False
762,2024-03-05 18:00:00,0.65046,0.65099,0.65038,0.65073,3249,9,0,0.65237,0.65034,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.65038,0.65099,True,False,False,False,False,False
763,2024-03-05 19:00:00,0.65073,0.65104,0.65057,0.65081,2206,9,0,0.65212,0.65034,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.65057,0.65104,True,False,False,False,False,False
764,2024-03-05 20:00:00,0.65081,0.65094,0.65024,0.65036,2796,9,0,0.65206,0.65024,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.65057,0.65094,True,False,True,False,False,False
765,2024-03-05 21:00:00,0.65035,0.65052,0.64988,0.6499,2400,9,0,0.65172,0.64988,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.65057,0.65052,True,False,True,False,False,False
766,2024-03-05 22:00:00,0.64991,0.65005,0.64937,0.64952,2278,9,0,0.65104,0.64937,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.65057,0.65005,True,False,True,False,False,False
767,2024-03-05 23:00:00,0.64951,0.64986,0.64948,0.64976,901,10,0,0.65104,0.64937,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,0.64948,0.64986,True,False,False,False,False,False
768,2024-03-06 00:00:00,0.64925,0.65011,0.64925,0.64982,1206,13,0,0.65094,0.64925,False,True,False,True,0.0,1.0,5.0,4.0,False,True,False,0.64948,0.65011,True,False,True,False,True,False
769,2024-03-06 01:00:00,0.64982,0.65013,0.64966,0.65012,1209,10,0,0.65052,0.64925,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,0.64966,0.65013,True,False,False,False,False,False
770,2024-03-06 02:00:00,0.65012,0.65072,0.65005,0.6503,1632,10,0,0.65072,0.64925,True,False,True,False,1.0,3.0,4.0,2.0,False,True,False,0.65005,0.65013,True,True,False,True,False,False
771,2024-03-06 03:00:00,0.6503,0.65129,0.65029,0.65125,2114,9,0,0.65129,0.64925,True,False,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65029,0.65013,True,True,False,True,False,False
772,2024-03-06 04:00:00,0.65124,0.65126,0.65095,0.65107,2027,9,0,0.65129,0.64925,False,True,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65095,0.65126,True,True,False,False,False,False
773,2024-03-06 05:00:00,0.65107,0.65116,0.65077,0.65107,1622,9,0,0.65129,0.64966,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65077,0.65116,False,True,False,False,False,False
774,2024-03-06 06:00:00,0.65107,0.6511,0.65084,0.65094,1193,9,0,0.65129,0.65005,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65084,0.6511,False,True,False,False,False,False
775,2024-03-06 07:00:00,0.65094,0.65111,0.65087,0.65107,1016,9,0,0.65129,0.65029,False,True,True,False,1.0,5.0,4.0,0.0,True,False,False,0.65087,0.65111,False,True,False,False,False,False
776,2024-03-06 08:00:00,0.65106,0.65115,0.65077,0.6508,1357,9,0,0.65126,0.65077,False,True,True,False,0.0,5.0,5.0,0.0,False,False,True,0.65077,0.65115,False,False,False,False,False,False
