,current_price,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
1371,1.2446,2024-04-16 02:00:00,hold,short,,,,12299.961799999923,-0.13019999999996348,0.24980000000008348
1372,1.24372,2024-04-16 03:00:00,hold,short,,,,12299.961799999923,-0.1303999999999635,1.3296000000000534
1373,1.24333,2024-04-16 04:00:00,hold,short,,,,12299.961799999923,0.7894000000000685,3.8193999999999346
1374,1.24246,2024-04-16 05:00:00,hold,short,,,,12299.961799999923,2.019200000000133,6.599199999999939
1375,1.24278,2024-04-16 06:00:00,hold,short,,,,12299.961799999923,3.929000000000211,9.22899999999985
1376,1.24329,2024-04-16 07:00:00,hold,short,,,,12299.961799999923,5.308800000000148,11.46879999999987
1377,1.24355,2024-04-16 08:00:00,hold,short,,,,12299.961799999923,6.058600000000176,13.068599999999917
1378,1.24306,2024-04-16 09:00:00,hold,short,,,,12299.961799999923,6.12840000000019,17.038399999999946
1379,1.24378,2024-04-16 10:00:00,hold,short,,,,12299.961799999923,6.418200000000091,18.768199999999954
1380,1.24365,2024-04-16 11:00:00,hold,short,,,,12299.961799999923,6.348000000000076,20.10799999999985
1381,1.24514,2024-04-16 12:00:00,hold,short,,,,12299.961799999923,5.607800000000113,21.237799999999925
1382,1.24459,2024-04-16 13:00:00,hold,short,,,,12299.961799999923,4.8476000000000194,21.85759999999999
1383,1.2457799999999999,2024-04-16 14:00:00,hold,short,,,,12299.961799999923,3.6074000000001116,22.22739999999997
1384,1.24603,2024-04-16 15:00:00,hold,short,,,,12299.961799999923,1.2171999999999974,22.107200000000073
1385,1.24503,2024-04-16 16:00:00,hold,short,,,,12299.961799999923,-0.7329999999998988,21.91700000000016
1386,1.24418,2024-04-16 17:00:00,hold,short,,,,12299.961799999923,-2.2331999999999557,22.986800000000066
1387,1.2435,2024-04-16 18:00:00,hold,short,,,,12299.961799999923,-2.163399999999941,24.876600000000014
1388,1.24352,2024-04-16 19:00:00,hold,short,,,,12299.961799999923,-1.2035999999998692,26.96639999999994
1389,1.24288,2024-04-16 20:00:00,hold,short,,,,12299.961799999923,-0.033799999999753805,31.236199999999936
1390,1.24389,2024-04-16 21:00:00,hold,short,,,,12299.961799999923,-0.33399999999972074,33.49599999999987
1391,1.24312,2024-04-16 22:00:00,hold,short,,,,12299.961799999923,0.3058000000002532,35.68579999999978
1392,1.24252,2024-04-16 23:00:00,hold,short,,,,12299.961799999923,1.7956000000002446,38.10559999999987
1393,1.24249,2024-04-17 00:00:00,hold,short,,,,12299.961799999923,1.8098000000000893,2.5198000000000778
1394,1.24292,2024-04-17 01:00:00,hold,short,,,,12299.961799999923,3.5196000000001897,5.0396000000001555
1395,1.2429999999999999,2024-04-17 02:00:00,hold,short,,,,12299.961799999923,5.059400000000064,7.20940000000016
1396,1.24291,2024-04-17 03:00:00,hold,short,,,,12299.961799999923,6.629200000000136,9.539200000000104
1397,1.24314,2024-04-17 04:00:00,hold,short,,,,12299.961799999923,7.91900000000015,11.859000000000204
1398,1.24373,2024-04-17 05:00:00,hold,short,,,,12299.961799999923,8.728800000000128,13.678800000000138
1399,1.24298,2024-04-17 06:00:00,hold,short,,,,12299.961799999923,9.708600000000109,15.49860000000007
1400,1.24292,2024-04-17 07:00:00,hold,short,,,,12299.961799999923,11.188400000000035,17.528400000000047
1401,1.24216,2024-04-17 08:00:00,hold,short,,,,12299.961799999923,13.048200000000008,20.64820000000006
1402,1.24733,2024-04-17 09:00:00,hold,short,,,,12299.961799999923,9.968000000000037,23.288000000000036
1403,1.24547,2024-04-17 10:00:00,hold,short,,,,12299.961799999923,7.407800000000142,23.067799999999927
1404,1.2471,2024-04-17 11:00:00,hold,short,,,,12299.961799999923,4.027600000000204,22.497599999999967
1405,1.2466,2024-04-17 12:00:00,hold,short,,,,12299.961799999923,1.1574000000002758,20.887400000000078
1406,1.24538,2024-04-17 13:00:00,hold,short,,,,12299.961799999923,-1.2727999999996564,20.297199999999986
1407,1.2456800000000001,2024-04-17 14:00:00,hold,short,,,,12299.961799999923,-3.0029999999996657,19.697000000000052
