time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2011-01-28,5.79444,5.8416,5.7738,5.81075,61313,40,68770000000,5.942696,6.0891871,5.899597331885802,5.995415181456036,5.812135760196311,5.850965193206722,5.8586045,5.98481527204045,5.7323937279595505,5.765429504475926,5.820215833333332,5.8750021621907385,-0.04019213199938321,-0.03544726115516938,43.35,49.29,24.017415914397798,16.636137227884475,5.80067,0.17377302966725683,0.5901183358073325,1
2011-01-31,5.8296,5.83993,5.75703,5.77472,62176,40,69833500000,5.9383284000000005,6.08843285,5.894700181615771,5.993219209501251,5.804652608157049,5.844033812006111,5.855968,5.986790611746007,5.725145388253993,5.759925280105056,5.812015,5.864104719894944,-0.04105907145457621,-0.036569623215050744,37.15,35.98,26.115368693019832,22.01730333243098,5.81075,-0.6200576517661149,0.17377302966725683,-1
2011-02-01,5.77328,5.77544,5.68742,5.7011,65569,40,72309500000,5.9322466,6.0875148,5.887108017630839,5.990312550700244,5.78394208652564,5.831039829096464,5.848126000000001,5.995315026819416,5.7009369731805855,5.732767871015375,5.800656666666668,5.86854546231796,-0.04714320839007424,-0.038684340250055446,27.96,21.3,19.093718261517576,23.075500956311753,5.77472,-1.274867006538849,-0.6200576517661149,-1
2011-02-02,5.70037,5.7429,5.68577,5.71514,56608,40,65152000000,5.9244876,6.086811700000001,5.880364173802179,5.987574515369893,5.770181669220512,5.820503480996785,5.8387135,5.994394141992018,5.683032858007982,5.71819737024334,5.788384166666667,5.858570963089994,-0.05025273780232986,-0.04099801976051033,31.59,28.27,13.248460233552805,19.485849062696754,5.7011,0.24626826401921154,-1.274867006538849,1
2011-02-03,5.71597,5.7596,5.7059,5.74102,57447,40,66056000000,5.917565,6.0857722,5.874899696398172,5.985121236609994,5.7643493353764095,5.813277709997077,5.827783,5.97859149765198,5.6769745023480205,5.710941055910366,5.78104,5.851138944089634,-0.05005179659765968,-0.04280877512794021,38.06,40.44,15.24067196072915,15.86095015193319,5.71514,0.4528323015709157,0.24626826401921154,1
2011-02-04,5.74186,5.7728,5.7109,5.7339,52576,40,65039250000,5.909669,6.084649799999999,5.8693702965394206,5.98262152281288,5.758259468301128,5.806061554542798,5.816281,5.958650507816974,5.673911492183026,5.703982077219902,5.773315,5.842647922780098,-0.04989195039345695,-0.044225410181043555,36.98,38.21,20.963939414258014,16.48435720284667,5.74102,-0.12401977348972526,0.4528323015709157,-1
2011-02-07,5.7584,5.7959,5.74014,5.78184,56080,40,74286000000,5.9021462,6.084001800000001,5.8659377358908165,5.98062369671524,5.762975574640903,5.803859595038907,5.8070555,5.932202345341972,5.681908654658027,5.713115197946028,5.765560000000001,5.818004802053974,-0.04537387202385723,-0.044455102549606294,48.16,57.79,31.728230091311133,22.644280488766114,5.7339,0.8360801548684016,-0.12401977348972526,1
2011-02-08,5.78143,5.78175,5.73422,5.76964,58967,40,66805500000,5.8934172,6.08334525,5.862161354091176,5.978524356449416,5.764308459712723,5.800748722762642,5.798072500000001,5.905646846918993,5.690498153081009,5.714145165838374,5.761821666666667,5.80949816749496,-0.042290205243985746,-0.04402212308848219,45.83,52.5,36.281060099901374,29.657743201823518,5.78184,-0.2110054930610339,0.8360801548684016,-1
2011-02-09,5.77134,5.7897,5.72441,5.75902,57227,40,66950500000,5.885829599999999,6.08245885,5.858116595107209,5.976340233499671,5.763250767770178,5.7969552025114925,5.7909485,5.888594824104125,5.693302175895875,5.713128603944212,5.759745,5.806361396055787,-0.040239466823924985,-0.04326559183557076,43.76,47.74,40.84883110603032,36.28604043241429,5.76964,-0.18406694351814634,-0.2110054930610339,-1
2011-02-10,5.75944,5.85221,5.7557,5.82812,56504,40,73048583340,5.880789600000001,6.0814416,5.8569402580441805,5.9748654053056445,5.776224614216143,5.799788365919539,5.788698,5.880568179623466,5.696827820376535,5.710615044784328,5.765213333333333,5.819811621882337,-0.0326619427988204,-0.04114486202822069,57.74,69.92,54.074920334063656,43.73493717999846,5.75902,1.1998569201010056,-0.18406694351814634,1
